Washington County, Utah, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
200307,0.39,-0.8
200308,0.97,-0.46
200309,0.52,-0.51
200310,0.11,-1.02
200311,1.1,-0.04
200312,2.21,0.8
200401,0.55,-1.18
200402,3.86,1.93
200403,0.21,-1.7
200404,1.64,0.61
200405,0.23,-0.56
200406,0.12,-0.29
200407,0.78,-0.41
200408,1.02,-0.41
200409,0.81,-0.22
200410,6.03,4.9
200411,2.64,1.5
200412,2.59,1.18
200501,5.97,4.24
200502,3.91,1.98
200503,2.43,0.52
200504,2.45,1.42
200505,0.9,0.11
200506,1.18,0.77
200507,0.7,-0.49
200508,2.54,1.11
200509,0.32,-0.71
200510,1.77,0.64
200511,0.39,-0.75
200512,0.59,-0.82
200601,1.01,-0.72
200602,0.35,-1.58
200603,3.97,2.06
200604,0.99,-0.04
200605,0.17,-0.62
200606,0.25,-0.16
200607,1.5,0.31
200608,0.22,-1.21
200609,0.67,-0.36
200610,2.19,1.06
200611,0.11,-1.03
200612,1.1,-0.31
200701,0.51,-1.22
200702,0.94,-0.99
200703,0.4,-1.51
200704,1.2,0.17
200705,0.13,-0.66
200706,0.08,-0.33
200707,1.39,0.2
200708,1.53,0.1
200709,1.73,0.7
200710,0.05,-1.08
200711,0.42,-0.72
200712,3.44,2.03
200801,2.7,0.97
200802,2.2,0.27
200803,0.27,-1.64
200804,0.02,-1.01
200805,0.79,0
200806,0.25,-0.16
200807,1.14,-0.05
200808,0.75,-0.68
200809,0.16,-0.87
200810,0.72,-0.41
200811,1.5,0.36
200812,2.71,1.3
200901,1.4,-0.33
200902,2.31,0.38
200903,0.15,-1.76
200904,0.68,-0.35
200905,0.37,-0.42
200906,0.34,-0.07
200907,0.48,-0.71
200908,0.19,-1.24
200909,0.5,-0.53
200910,0.16,-0.97
200911,0.51,-0.63
200912,2.36,0.95
201001,3.75,2.02
201002,2.71,0.78
201003,1.72,-0.19
201004,0.95,-0.08
201005,0.29,-0.5
201006,0.18,-0.23
201007,0.56,-0.63
201008,1.34,-0.09
201009,0.04,-0.99
201010,3.4,2.27
201011,1.34,0.2
