0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
7.9,d_19091101,0,0,0,0,0,0,92.2,30,0,0,0
0,d_19091201,0,0,0,0,0,0,100,71.5,1.2,0,0
0,d_19100101,0,0,0,0,0,0,100,100,55.6,12.4,0
0,d_19100201,0,0,0,0,0,0,100,99.8,47.3,11.8,0
0,d_19100301,0,0,0,0,0,0,100,95.4,21.5,0,0
0.7,d_19100401,0,0,0,0,0,0,99.3,53.7,0.8,0,0
100,d_19100501,0,0,0,0,0,0,0,0,0,0,0
26.2,d_19100601,73.8,9.7,0,0,0,0,0,0,0,0,0
96.8,d_19100701,3,0,0,0,0,0,0.2,0,0,0,0
19.2,d_19100801,80.7,54.3,0,0,0,0,0,0,0,0,0
47.1,d_19100901,53,18.5,0,0,0,0,0,0,0,0,0
21.2,d_19101001,78.5,35.6,13.5,4.9,0,0,0.4,0,0,0,0
55.6,d_19101101,41.7,24.2,8.3,0.7,0,0,2.6,0,0,0,0
64.1,d_19101201,25.5,17,4.6,0,0,0,10.3,4.3,0.1,0,0
15.6,d_19110101,0,0,0,0,0,0,84.4,74.1,28,14.7,0.4
1.4,d_19110201,0,0,0,0,0,0,98.6,88.5,67.4,33.6,4.3
2,d_19110301,0,0,0,0,0,0,98,85.1,48.8,21,2.3
11,d_19110401,0,0,0,0,0,0,88.9,72.4,15.5,1.3,0
14.7,d_19110501,0,0,0,0,0,0,85.2,59.8,3.4,0,0
25.1,d_19110601,0,0,0,0,0,0,74.8,32.9,0.2,0,0
5.9,d_19110701,0,0,0,0,0,0,94.1,64.2,0,0,0
44.3,d_19110801,0,0,0,0,0,0,55.7,21.2,0,0,0
1.1,d_19110901,0,0,0,0,0,0,98.8,90,39.2,1.3,0
87.4,d_19111001,0.3,0,0,0,0,0,12.3,0,0,0,0
80.4,d_19111101,19.1,6.9,0,0,0,0,0.5,0,0,0,0
82,d_19111201,18,7.9,0.1,0,0,0,0,0,0,0,0
81.3,d_19120101,18.1,9.5,0.3,0,0,0,0.6,0,0,0,0
73.9,d_19120201,14.7,6.4,0.1,0,0,0,11.4,1.4,0,0,0
40.9,d_19120301,0.1,0,0,0,0,0,59,14.6,0,0,0
68.8,d_19120401,0,0,0,0,0,0,31.2,1.4,0,0,0
31.7,d_19120501,0,0,0,0,0,0,68.3,8.7,0,0,0
66.3,d_19120601,33.7,0.1,0,0,0,0,0,0,0,0,0
96.2,d_19120701,3.8,0,0,0,0,0,0,0,0,0,0
94.9,d_19120801,5.1,0,0,0,0,0,0,0,0,0,0
72.8,d_19120901,27.2,3.6,0,0,0,0,0,0,0,0,0
15.4,d_19121001,0,0,0,0,0,0,84.5,71.9,27.7,5.7,0
17.4,d_19121101,0,0,0,0,0,0,82.6,66.6,13.5,0.5,0
88.1,d_19121201,10.1,3.6,0,0,0,0,1.8,0,0,0,0
76.3,d_19130101,23.7,14.4,4.9,1.5,0,0,0,0,0,0,0
87.8,d_19130201,12.2,5.1,0,0,0,0,0,0,0,0,0
84.7,d_19130301,15.3,6.9,0,0,0,0,0,0,0,0,0
82.6,d_19130401,17.4,5.9,0,0,0,0,0,0,0,0,0
85.2,d_19130501,14.9,1.9,0,0,0,0,0,0,0,0,0
96.3,d_19130601,3.7,0,0,0,0,0,0,0,0,0,0
0,d_19130701,100,100,60,18.1,0,0,0,0,0,0,0
0,d_19130801,99.9,99.9,19.3,0.1,0,0,0,0,0,0,0
9.9,d_19130901,90.1,36.5,0,0,0,0,0,0,0,0,0
0,d_19131001,100,91.3,8,0,0,0,0,0,0,0,0
30.7,d_19131101,69.3,6.3,0,0,0,0,0,0,0,0,0
93.5,d_19131201,6.5,0,0,0,0,0,0,0,0,0,0
90.3,d_19140101,0,0,0,0,0,0,9.8,0.6,0,0,0
74.7,d_19140201,0,0,0,0,0,0,25.3,7,0,0,0
99,d_19140301,0.2,0,0,0,0,0,0.8,0,0,0,0
89.3,d_19140401,0,0,0,0,0,0,10.7,0.3,0,0,0
91.3,d_19140501,0,0,0,0,0,0,8.6,0.1,0,0,0
44.6,d_19140601,0,0,0,0,0,0,55.4,17.6,0,0,0
0,d_19140701,0,0,0,0,0,0,100,100,74.8,53.4,12.5
12.7,d_19140801,0,0,0,0,0,0,87.3,69.6,21,7.6,0
21.3,d_19140901,0,0,0,0,0,0,78.7,62.4,20.8,9.3,0
31.1,d_19141001,9.5,3.3,0,0,0,0,59.4,35.6,9.9,0,0
52.7,d_19141101,17.2,9.4,0.3,0,0,0,30.1,12.8,0,0,0
34.6,d_19141201,11.5,5.7,0,0,0,0,53.9,30,4.5,0,0
28.5,d_19150101,11.8,6,0.1,0,0,0,59.8,35,4.6,0,0
20,d_19150201,0,0,0,0,0,0,80,61.7,14.3,0.4,0
97.4,d_19150301,0,0,0,0,0,0,2.6,0,0,0,0
80,d_19150401,20,3.4,0,0,0,0,0,0,0,0,0
96.2,d_19150501,0,0,0,0,0,0,3.8,0,0,0,0
100,d_19150601,0,0,0,0,0,0,0,0,0,0,0
39.9,d_19150701,0,0,0,0,0,0,60,16,0,0,0
48.2,d_19150801,0,0,0,0,0,0,51.8,5.9,0,0,0
32,d_19150901,0,0,0,0,0,0,68,23.5,0,0,0
92.8,d_19151001,7.2,0.1,0,0,0,0,0.1,0,0,0,0
91.3,d_19151101,8.7,0,0,0,0,0,0,0,0,0,0
82.2,d_19151201,0,0,0,0,0,0,17.8,2.8,0,0,0
0.7,d_19160101,0,0,0,0,0,0,99.3,77.5,12.2,6.3,0
12.8,d_19160201,0,0,0,0,0,0,87.1,40.4,3.3,0,0
3.1,d_19160301,0,0,0,0,0,0,96.9,81.6,12.3,0,0
10.8,d_19160401,0,0,0,0,0,0,89.2,54.1,1.3,0,0
0.4,d_19160501,0,0,0,0,0,0,99.6,89.9,20.1,0,0
6.1,d_19160601,0,0,0,0,0,0,94,78.4,9.5,0,0
0,d_19160701,0,0,0,0,0,0,100,100,100,85.6,27.4
0,d_19160801,0,0,0,0,0,0,99.9,99.9,97.5,90.3,52.2
0,d_19160901,0,0,0,0,0,0,100,100,91.2,60.6,8.4
0,d_19161001,0,0,0,0,0,0,100,95.9,54.7,17.8,0
2.1,d_19161101,0,0,0,0,0,0,97.9,86.4,21.8,0.8,0
16.3,d_19161201,0,0,0,0,0,0,83.7,37.9,3.4,0,0
3.5,d_19170101,0,0,0,0,0,0,96.5,76.7,16.5,3.2,0
4.3,d_19170201,0,0,0,0,0,0,95.7,74.1,7.4,0.2,0
4.8,d_19170301,0,0,0,0,0,0,95.1,66.7,17.7,0,0
20.9,d_19170401,0,0,0,0,0,0,79.1,44.3,1,0,0
0.8,d_19170501,0,0,0,0,0,0,99.2,76.4,16.4,0,0
0.5,d_19170601,0,0,0,0,0,0,99.4,80.9,25.1,2.1,0
15.1,d_19170701,0,0,0,0,0,0,84.8,55.6,3.2,0,0
14,d_19170801,0,0,0,0,0,0,86,60.5,4.5,0,0
16.3,d_19170901,0,0,0,0,0,0,83.8,60.1,0,0,0
68.3,d_19171001,2.5,0,0,0,0,0,29.2,4.1,0,0,0
70.8,d_19171101,0,0,0,0,0,0,29.1,2.8,0,0,0
94.5,d_19171201,0.5,0,0,0,0,0,5,0,0,0,0
68.6,d_19180101,13.9,3.1,0,0,0,0,17.5,4,0,0,0
41.4,d_19180201,58.7,36.5,9.1,0.3,0,0,0,0,0,0,0
63.2,d_19180301,0,0,0,0,0,0,36.8,14.5,0,0,0
88.2,d_19180401,5.9,0,0,0,0,0,5.9,0,0,0,0
78.2,d_19180501,2.5,0,0,0,0,0,19.3,0,0,0,0
75.4,d_19180601,0,0,0,0,0,0,24.6,0,0,0,0
6.5,d_19180701,0,0,0,0,0,0,93.5,56.1,0,0,0
19.3,d_19180801,0,0,0,0,0,0,80.7,51.6,0,0,0
6,d_19180901,0,0,0,0,0,0,94,80.5,2.8,0,0
13.7,d_19181001,0,0,0,0,0,0,86.2,40.8,0,0,0
10,d_19181101,0,0,0,0,0,0,90,44.2,0,0,0
99.6,d_19181201,0.4,0,0,0,0,0,0,0,0,0,0
95.5,d_19190101,4.5,0,0,0,0,0,0,0,0,0,0
91.7,d_19190201,0,0,0,0,0,0,8.3,0,0,0,0
100,d_19190301,0,0,0,0,0,0,0,0,0,0,0
